Trace_ID,Requirement_ID,Requirement_Type,Requirement_Summary,Primary_Actor_or_Domain,Target_Source,Evidence_Classification,Related_Business_Rule_IDs,TO_BE_Process_Reference,State_or_Transition_Reference,Use_Case_IDs,User_Story_IDs,Acceptance_Criteria_IDs,Data_Entity_or_Element_References,UI_or_System_Module,Current_Implementation_Evidence,Implementation_Assessment,Gap_ID,Open_Clarification,UAT_Test_Case_IDs,UAT_Coverage_Status,Notes
RTM-011,FR-CUS-05,Functional Requirement,Calculate total (cart + fees),Customer,S1 — FR-CUS-05,BASELINE,BR-FEE-01; BR-FEE-02,Step 3 — Calculate delivery cost,—,UC-CUS-03,US-CUS-04,AC-US-CUS-04-04 to 08,Order — DE-ORD-004 Total Amount,NOT VERIFIED,`KhachHangController.cs` (`TongThanhToan` logic),ALIGNED,—,—,UAT-011; UAT-012; UAT-013; UAT-014; UAT-015,PARTIAL — UAT DESIGN COVERAGE DEFINED; TARGET CLARIFICATION BLOCKS SOME COVERAGE,Fees and cart totals are calculated during checkout.
RTM-012,FR-CUS-06,Functional Requirement,Submit order via COD / QR Payment Simulation,Customer,S1 — FR-CUS-06,BASELINE,—,"Steps 4–5 — Payment selection, confirmation, order creation","ST-01: Initial → ""Chờ xác nhận""",UC-CUS-03,US-CUS-04,AC-US-CUS-04-09,Order — DE-ORD-007 Payment Method,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-016; UAT-017,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `KhachHangController.cs`
RTM-013,FR-CUS-07,Functional Requirement,Track active order status/route,Customer,S1 — FR-CUS-07,BASELINE,—,Step 11 — Track order/status/route,—,UC-CUS-04,US-CUS-05,AC-US-CUS-05-01; 02,Order — DE-ORD-002 Order Status; DE-SHP-005 Shipper Location; DE-ORD-011 Delivery Routing Information,NOT VERIFIED,—,NOT VERIFIED,—,Tracking refresh frequency & notification behaviour,UAT-018; UAT-019,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `KhachHangController.cs`
RTM-014,FR-CUS-08,Functional Requirement,Review completed order,Customer,S1 — FR-CUS-08,BASELINE,BR-ORDER-01,Step 13 — Submit post-completion review,"""Hoàn thành""",UC-CUS-06,US-CUS-07,AC-US-CUS-07-01; 02,Restaurant Review — DE-REV-003 Rating Score; Shipper Review — DE-REV-006 Rating Score,NOT VERIFIED,—,NOT VERIFIED,—,Review cardinality & editability.,UAT-023; UAT-024,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `KhachHangController.cs`
RTM-015,FR-CUS-09,Functional Requirement,View orders & history,Customer,S1 — FR-CUS-09,BASELINE,—,—,—,UC-CUS-05,US-CUS-06,AC-US-CUS-06-01 to 03,Order — DE-ORD-001 Order Identifier; DE-ORD-002 Order Status; DE-ORD-009 Customer Reference; Order Detail — DE-008,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-020; UAT-021; UAT-022,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `KhachHangController.cs`
RTM-016,FR-RES-01,Functional Requirement,Update store information,Restaurant,S1 — FR-RES-01,BASELINE,—,—,—,UC-RES-01,US-RES-01,AC-US-RES-01-01,—,NOT VERIFIED,—,NOT VERIFIED,—,BR-PARTNER-01 applicability boundary regarding this capability.,UAT-025,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `NhaHangController.cs`
RTM-017,FR-RES-02,Functional Requirement,Manage menu categories,Restaurant,S1 — FR-RES-02,BASELINE,—,—,—,UC-RES-01,US-RES-02,AC-US-RES-02-01,—,NOT VERIFIED,—,NOT VERIFIED,—,Exact menu-category management operations; BR-PARTNER-01 applicability boundary regarding this capability.,UAT-029,BLOCKED — TARGET CLARIFICATION REQUIRED,Potential implementation area: `NhaHangController.cs`
RTM-018,FR-RES-03,Functional Requirement,Manage food items,Restaurant,S1 — FR-RES-03,BASELINE,—,—,—,UC-RES-01,US-RES-03,AC-US-RES-03-01 to 03,Food Item — DE-FOO-001 to DE-FOO-004 Food Item fields,NOT VERIFIED,—,NOT VERIFIED,—,BR-PARTNER-01 applicability boundary regarding this capability.,UAT-026; UAT-027; UAT-028,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `NhaHangController.cs`
RTM-019,FR-RES-04,Functional Requirement,View incoming orders,Restaurant,S1 — FR-RES-04,BASELINE,BR-PARTNER-01,Step 6 — View/process incoming order,"""Chờ xác nhận""",UC-RES-02,US-RES-04,AC-US-RES-04-01,Order — DE-ORD-001 Order Identifier; DE-ORD-010 Restaurant Reference; Order Detail — DE-008,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-030,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `NhaHangController.cs`
RTM-020,FR-RES-05,Functional Requirement,Update order status to ready,Restaurant,S1 — FR-RES-05,BASELINE,BR-PARTNER-01,Step 7 — Mark order Ready for Pickup,"ST-02; ""Chờ xác nhận"" → ""Đang lấy món""",UC-RES-02,US-RES-04,AC-US-RES-04-02,Order — DE-ORD-002 Order Status,NOT VERIFIED,—,NOT VERIFIED,—,Restaurant intermediate confirmation semantics,UAT-031,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `NhaHangController.cs`
RTM-021,FR-RES-06,Functional Requirement,View revenue/order history,Restaurant,S1 — FR-RES-06,BASELINE,—,—,—,UC-RES-03,US-RES-05,AC-US-RES-05-01; 02,Order — DE-ORD-004 Total Amount,NOT VERIFIED,—,NOT VERIFIED,—,BR-PARTNER-01 applicability boundary regarding this capability.,UAT-033; UAT-034,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `NhaHangController.cs`
RTM-022,FR-RES-07,Functional Requirement,View customer reviews,Restaurant,S1 — FR-RES-07,BASELINE,—,—,—,UC-RES-03,US-RES-06,AC-US-RES-06-01,Restaurant Review — DE-REV-003 Rating Score,NOT VERIFIED,—,NOT VERIFIED,—,BR-PARTNER-01 applicability boundary regarding this capability.,UAT-035,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `NhaHangController.cs`
RTM-023,FR-SHP-01,Functional Requirement,View available deliveries,Shipper,S1 — FR-SHP-01,BASELINE,BR-PARTNER-01,Steps 8–9 — Available delivery visibility,Non-state condition: Unassigned,UC-SHP-01,US-SHP-01,AC-US-SHP-01-01,Order — DE-ORD-003 Shipper Assignment,NOT VERIFIED,`ShipperController.cs` (`Index` method),ALIGNED,—,—,UAT-036,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Shows orders where `MaShipper` is null.
RTM-024,FR-SHP-02,Functional Requirement,Accept delivery assignment,Shipper,S1 — FR-SHP-02,BASELINE,BR-SHIP-01; BR-SHIP-02; BR-PARTNER-01,Step 9 — Accept delivery,"""Đang lấy món""",UC-SHP-02,US-SHP-02,AC-US-SHP-02-01 to 04,Order — DE-ORD-003 Shipper Assignment,NOT VERIFIED,`ShipperController.cs` (`Accept` method),PARTIALLY ALIGNED,GAP-01,Exact active-delivery definition,UAT-037; UAT-038; UAT-039; UAT-040,PARTIAL — UAT DESIGN COVERAGE DEFINED; TARGET CLARIFICATION BLOCKS SOME COVERAGE,Fails to enforce required `Order.Status` before assignment.
RTM-025,FR-SHP-03,Functional Requirement,Update order delivery status,Shipper,S1 — FR-SHP-03,BASELINE,BR-PARTNER-01,Steps 10 & 12 — Delivery progression/completion,"""Đang giao""; ST-03; ""Hoàn thành""; ST-04",UC-SHP-03,US-SHP-03,AC-US-SHP-03-01; 02,Order — DE-ORD-002 Order Status,NOT VERIFIED,`ShipperController.cs` (`UpdateStatus` method),ALIGNED,—,UC-SHP-03 exception: exact post-Shipper-cancellation Order.Status.,UAT-042; UAT-043,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,"Functional status-update capability is ALIGNED. The implementation supports updates to ""Đang giao"" and ""Hoàn thành""; specific ST-03/ST-04 source-state and transition enforcement remain NOT VERIFIED in the lifecycle review."
RTM-026,FR-SHP-04,Functional Requirement,View delivery history & income,Shipper,S1 — FR-SHP-04,BASELINE,—,—,—,UC-SHP-04,US-SHP-04,AC-US-SHP-04-01; 02,Shipper — DE-SHP-004 Accumulated Income; Order — DE-ORD-001 Order Identifier,NOT VERIFIED,`ShipperController.cs` (`Accepted` & statistics),ALIGNED,—,BR-PARTNER-01 applicability boundary regarding this capability.,UAT-045; UAT-046,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Shipper can view completed deliveries and income statistics.
RTM-027,FR-SHP-05,Functional Requirement,Manage Shipper profile,Shipper,S1 — FR-SHP-05,BASELINE,—,—,—,UC-SHP-05,US-SHP-05,AC-US-SHP-05-01; 02,—,NOT VERIFIED,—,NOT VERIFIED,—,BR-PARTNER-01 applicability boundary regarding this capability.,UAT-047; UAT-048,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `ShipperController.cs`
RTM-028,NFR-COMP-01,Non-functional Requirement,Cross-browser compatibility,Compatibility,S1 — NFR-COMP-01,BASELINE,—,—,—,—,—,—,—,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-054,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Cross-browser verification belongs to testing evidence.
RTM-029,NFR-PER-01,Non-functional Requirement,Core customer operations shall meet an agreed response-time target under expected project load; quantitative target remains TBD.,Performance,S1 — NFR-PER-01,BASELINE,—,—,—,—,—,—,—,NOT VERIFIED,—,TARGET CLARIFICATION REQUIRED,—,Quantitative response-time target remains TBD.,UAT-055,BLOCKED — TARGET CLARIFICATION REQUIRED,Quantitative response-time threshold remains TBD. Runtime performance is also NOT VERIFIED.
RTM-030,NFR-SEC-01,Non-functional Requirement,Functions shall be restricted strictly according to authenticated user roles.,Security,S1 — NFR-SEC-01,BASELINE,—,—,—,—,—,—,—,NOT VERIFIED,Role/authorization implementation not sufficiently reviewed.,NOT VERIFIED,—,—,UAT-056; UAT-060,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Requires RBAC/authorization review.
RTM-031,NFR-SEC-02,Non-functional Requirement,Credentials shall be protected using an approved password-hashing mechanism.,Security,S1 — NFR-SEC-02,BASELINE,—,—,—,—,—,—,Account — DE-ACC-002 Credential Secret,NOT VERIFIED,S3 — AccountController.cs (stores plaintext passwords),GAP,GAP-02,—,UAT-057,NON-UAT TECHNICAL VALIDATION REQUIRED,—
RTM-032,BR-DEL-01,Business Rule,30km delivery radius limit,System,S1 — BR-DEL-01,BASELINE,—,Checkout Validation,—,UC-CUS-03,US-CUS-04,AC-US-CUS-04-02; 03,Order — DE-ORD-008 Delivery Distance,NOT VERIFIED,`KhachHangController.cs` (`MAX_DELIVERY_RADIUS = 30.0`),ALIGNED,—,—,UAT-009; UAT-010,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,—
RTM-033,BR-FEE-01,Business Rule,Base fee + distance fee,System,S1 — BR-FEE-01,BASELINE,—,Checkout Calculation,—,UC-CUS-03,US-CUS-04,AC-US-CUS-04-04; 05,Order — DE-ORD-005 Delivery Fee,NOT VERIFIED,`KhachHangController.cs` (Distance calculations `extraKm * 3000`),ALIGNED,—,Fractional-km rounding.,UAT-011; UAT-012,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,—
RTM-034,BR-FEE-02,Business Rule,Time-based service fee,System,S1 — BR-FEE-02,BASELINE,—,Checkout fee calculation / Calculate service fee,—,UC-CUS-03,US-CUS-04,AC-US-CUS-04-06; 07,Order — DE-ORD-006 Service Fee,NOT VERIFIED,`KhachHangController.cs` (`TinhPhiDichVu` checks `Hour >= 19`),ALIGNED,—,Authoritative timestamp.,UAT-013; UAT-014,BLOCKED — TARGET CLARIFICATION REQUIRED,—
RTM-035,BR-ORDER-01,Business Rule,Completed order review,Customer,S1 — BR-ORDER-01,BASELINE,—,Post-completion Review,"""Hoàn thành""",UC-CUS-06,US-CUS-07,AC-US-CUS-07-01; 02,Restaurant Review — DE-REV-002 Order Reference; Shipper Review — DE-REV-005 Order Reference,NOT VERIFIED,—,NOT VERIFIED,—,Review cardinality/editability.,UAT-023; UAT-024,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,—
RTM-036,BR-PARTNER-01,Business Rule,Partner approval before operation,Restaurant & Shipper,S1 — BR-PARTNER-01,BASELINE,—,N/A (Upstream) / Upstream prerequisite for process participation,—,UC-RES-02; UC-SHP-01; UC-SHP-02; UC-SHP-03; UC-ADM-02,US-RES-04; US-SHP-01; US-SHP-02; US-SHP-03; US-ADM-02,Section 3 — BR-PARTNER-01 Cross-Cutting Conditions; AC-US-ADM-02-01,Account — DE-ACC-004 Partner Approval Status,NOT VERIFIED,`AccountController.cs`,NOT VERIFIED,—,Partner approval-state vocabulary & rejection logic; exact normal-operation capability boundary.,UAT-032; UAT-041; UAT-050,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,"Registration establishes an unapproved state, but enforcement of Administrator approval before mapped normal operational capabilities has not been sufficiently verified."
RTM-037,BR-SHIP-01,Business Rule,One active delivery limit,Shipper,S1 — BR-SHIP-01,BASELINE,—,Shipper Acceptance,—,UC-SHP-02,US-SHP-02,AC-US-SHP-02-04,Order — DE-ORD-002 Order Status; DE-ORD-003 Shipper Assignment,NOT VERIFIED,`ShipperController.cs` (`Accept` active limit check),ALIGNED,—,Exact active delivery definition.,UAT-037; UAT-040,PARTIAL — UAT DESIGN COVERAGE DEFINED; TARGET CLARIFICATION BLOCKS SOME COVERAGE,—
RTM-038,BR-SHIP-02,Business Rule,Shipper assignment conditions,Shipper,S1 — BR-SHIP-02,BASELINE,—,Shipper Acceptance,"""Đang lấy món""",UC-SHP-02,US-SHP-02,AC-US-SHP-02-01; 02; 03,Order — DE-ORD-003 Shipper Assignment,NOT VERIFIED,`ShipperController.cs` (`Accept` method),GAP,GAP-01,Exact post-cancellation status before re-acceptance,UAT-037; UAT-038; UAT-039,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,—
